
Predictions were generated on 17-Jul-2019 at 13:03:04 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-130-g2d9230df-dirty
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #01: AWT-27CR2 with many DOFs with fixed yaw error and steady wind

Time      	HSShftPwr 	HSShftTq  	HSShftV   	LSSGagFxs 	LSSGagFys 	LSSGagFzs 	LSSGagV   	LSShftPwr 	LSShftTq  	RootFxb3  	RootFyb3  	RootMEdg3 	RootMFlp3 	RotSpeed  	Spn4MLxb1 	Spn4MLyb1 	Spn5ALxb1 	Spn5ALyb1 	TipDxb3   	TipDyb3   	TipRDxb3  	TipRDyb3  
(s)       	(kW)      	(kN-m)    	(rpm)     	(kN)      	(kN)      	(kN)      	(rpm)     	(kW)      	(kN-m)    	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(rpm)     	(kN-m)    	(kN-m)    	(m/s^2)   	(m/s^2)   	(m)       	(m)       	(deg)     	(deg)     
   11.0200	 6.626E-14	 5.840E-09	 1.083E-04	-3.239E-06	 2.990E-07	-6.684E+00	 3.835E-06	 6.578E-14	 1.650E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.807E-06	-1.465E-03	 2.767E-02	 1.070E-04	-3.368E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   11.0400	-7.726E-14	-6.811E-09	 1.083E-04	-3.598E-06	 3.815E-07	-6.684E+00	 3.834E-06	-7.612E-14	-1.924E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.778E-06	-1.464E-03	 2.767E-02	 6.455E-05	-1.652E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   11.0600	-1.671E-13	-1.476E-08	 1.081E-04	-3.025E-06	 3.641E-07	-6.684E+00	 3.827E-06	-1.640E-13	-4.169E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.757E-06	-1.464E-03	 2.767E-02	 7.009E-06	 3.690E-07	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   11.0800	-1.819E-13	-1.611E-08	 1.078E-04	-1.697E-06	 2.542E-07	-6.684E+00	 3.816E-06	-1.787E-13	-4.551E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.750E-06	-1.464E-03	 2.767E-02	-5.044E-05	 2.170E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   11.1000	-1.207E-13	-1.072E-08	 1.075E-04	 2.646E-08	 8.252E-08	-6.684E+00	 3.806E-06	-1.193E-13	-3.028E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.762E-06	-1.464E-03	 2.768E-02	-9.319E-05	 3.300E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   11.1200	-1.857E-15	-1.650E-10	 1.074E-04	 1.691E-06	-1.052E-07	-6.684E+00	 3.803E-06	-1.851E-15	-4.662E-09	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.790E-06	-1.464E-03	 2.768E-02	-1.108E-04	 3.494E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   11.1400	 1.430E-13	 1.270E-08	 1.075E-04	 2.873E-06	-2.605E-07	-6.684E+00	 3.807E-06	 1.438E-13	 3.587E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.829E-06	-1.464E-03	 2.768E-02	-9.967E-05	 2.735E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.207E-02
   11.1600	 2.769E-13	 2.451E-08	 1.079E-04	 3.285E-06	-3.448E-07	-6.684E+00	 3.819E-06	 2.805E-13	 6.924E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.869E-06	-1.464E-03	 2.768E-02	-6.351E-05	 1.247E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   11.1800	 3.666E-13	 3.228E-08	 1.085E-04	 2.844E-06	-3.384E-07	-6.684E+00	 3.839E-06	 3.727E-13	 9.120E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.902E-06	-1.464E-03	 2.767E-02	-1.236E-05	-5.658E-07	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   11.2000	 3.901E-13	 3.415E-08	 1.091E-04	 1.689E-06	-2.459E-07	-6.684E+00	 3.862E-06	 3.963E-13	 9.647E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.923E-06	-1.464E-03	 2.767E-02	 4.029E-05	-2.232E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
